ImageID,XMin,XMax,YMin,YMax,LabelName_Text
0000048549557964,0.194375,0.32625,0.72,0.758333,Car
0000048549557964,0.435,0.725625,0.698333,0.944167,Car
0000048549557964,0.70625,0.936875,0.685833,0.865,Car
0000048549557964,0.82875,0.999375,0.6925,0.908333,Car
0000048549557964,0.206875,0.326875,0.720833,0.77,Taxi
0000048549557964,0.436875,0.723125,0.699167,0.936667,Taxi
0000048549557964,0.70125,0.92375,0.679167,0.866667,Taxi
0000048549557964,0.828125,0.99875,0.690833,0.901667,Taxi
0004c9478eeda995,0.0,0.809167,0.844375,0.999375,Car
0004c9478eeda995,0.956667,0.999167,0.890625,0.956875,Car
0004c9478eeda995,0.0,0.800833,0.841875,0.999375,Taxi
0006dc0977056410,0.38875,0.494375,0.714286,0.739535,Vehicle registration plate
000780f791b71252,0.0,0.99875,0.0,0.998333,Bus
0009da46ef64adb7,0.536875,0.759375,0.487331,0.798986,Bus
000c6c92c80213ff,0.637695,0.754883,0.582353,0.766176,Car
000c6c92c80213ff,0.470703,0.571289,0.588235,0.720588,Car
000c6c92c80213ff,0.498047,0.760742,0.460294,0.752941,Car
000c6c92c80213ff,0.470703,0.567383,0.594118,0.710294,Taxi
001065dbc46c29c8,0.151875,0.198125,0.622494,0.657016,Vehicle registration plate
0010f4c10f7ab07e,0.424375,0.465625,0.6875,0.715,Vehicle registration plate
0013b65ae5b1a2c9,0.05875,0.796875,0.2825,0.6575,Car
0014e05dcc74d3f3,0.36,0.689375,0.44,0.635833,Vehicle registration plate
001bdbbf7a3ac993,0.0,0.9825,0.0175,0.999167,Bus
001ca5b0478a64d9,0.0,0.47375,0.135833,0.5525,Car
001ca5b0478a64d9,0.0,0.9525,0.131667,0.713333,Car
001ca5b0478a64d9,0.23625,0.3225,0.166667,0.206667,Car
001ca5b0478a64d9,0.368125,0.4325,0.1825,0.211667,Car
001ca5b0478a64d9,0.411875,0.488125,0.161667,0.208333,Car
001ca5b0478a64d9,0.45625,0.70125,0.0875,0.234167,Car
001ca5b0478a64d9,0.70125,0.916875,0.135833,0.306667,Car
001ca5b0478a64d9,0.878125,0.949375,0.151667,0.268333,Car
001e1014c57db5c6,0.0,0.999375,0.0,0.925556,Car
001e1014c57db5c6,0.01,0.27625,0.131111,0.374444,Car
001e1014c57db5c6,0.2125,0.535,0.0,0.378889,Car
