ImageID,XMin,XMax,YMin,YMax,LabelName_Text
00058138dc1ecd17,0.179375,0.640625,0.405253,0.685741,Car
00072b81abc72d21,0.1625,0.9275,0.26779,0.932584,Truck
0007870724402b51,0.070356,0.922139,0.26375,0.86375,Car
0009b74be294a699,0.30125,0.40875,0.469167,0.618333,Bus
0009da46ef64adb7,0.536875,0.759375,0.487331,0.798986,Bus
000bd0b4fa27644c,0.0,0.053906,0.417708,0.457292,Car
000bd0b4fa27644c,0.096094,0.171094,0.417708,0.45625,Car
000bd0b4fa27644c,0.350781,0.426562,0.407292,0.459375,Car
000bd0b4fa27644c,0.489062,0.535937,0.402083,0.441667,Car
000bd0b4fa27644c,0.526563,0.653125,0.394792,0.435417,Car
000bd0b4fa27644c,0.64375,0.900781,0.332292,0.529167,Car
000bd0b4fa27644c,0.321875,0.43125,0.40625,0.463542,Taxi
000bd0b4fa27644c,0.482031,0.530469,0.396875,0.438542,Taxi
000bd0b4fa27644c,0.522656,0.571875,0.391667,0.428125,Taxi
000bd0b4fa27644c,0.578906,0.653906,0.388542,0.440625,Taxi
000bd0b4fa27644c,0.639844,0.898438,0.323958,0.525,Taxi
000c6c92c80213ff,0.637695,0.754883,0.582353,0.766176,Car
000c6c92c80213ff,0.470703,0.571289,0.588235,0.720588,Car
000c6c92c80213ff,0.498047,0.760742,0.460294,0.752941,Car
000c6c92c80213ff,0.470703,0.567383,0.594118,0.710294,Taxi
00166578c691cd43,0.150833,0.805833,0.2725,0.73125,Bus
001ae662d690368e,0.091205,0.284039,0.365451,0.599826,Truck
001ae662d690368e,0.121824,0.896417,0.41059,0.776042,Truck
001ae662d690368e,0.269055,0.496417,0.244792,0.368924,Truck
001ae662d690368e,0.422801,0.549837,0.309896,0.365451,Truck
001ae662d690368e,0.539414,0.626059,0.313368,0.367188,Truck
001ae662d690368e,0.627362,0.721824,0.299479,0.361979,Truck
001bdbbf7a3ac993,0.0,0.9825,0.0175,0.999167,Bus
001fa861abda39f6,0.1625,0.733125,0.165103,0.891182,Truck
0027e4cf3e7c6497,0.0375,0.7925,0.047037,0.540922,Car
0027e4cf3e7c6497,0.099375,0.4375,0.0,0.124177,Car
0027e4cf3e7c6497,0.2225,0.999375,0.043274,0.669802,Car
0027e4cf3e7c6497,0.420625,0.726875,0.0,0.067733,Car
0027e4cf3e7c6497,0.5925,0.999375,0.193791,0.88429,Car
0027e4cf3e7c6497,0.766875,0.999375,0.0,0.10254,Car
0029d6713add6e62,0.0,0.997312,0.544922,0.728516,Car
0029d6713add6e62,0.233871,0.47043,0.571289,0.657227,Car
0029d6713add6e62,0.47043,0.997312,0.553711,0.726562,Car
0029d6713add6e62,0.430108,0.997312,0.549805,0.726562,Taxi
002ed4b2e22b51e6,0.0,0.908125,0.163697,0.430958,Bus
0030164dc0dba5d9,0.12,0.270625,0.408333,0.4925,Car
0030164dc0dba5d9,0.36125,0.683125,0.445833,0.709167,Car
0030164dc0dba5d9,0.388125,0.605625,0.430833,0.489167,Car
0030164dc0dba5d9,0.5175,0.595,0.395833,0.445833,Car
00310d0abf32cc01,0.0,0.896875,0.0,0.999066,Bus
00310d0abf32cc01,0.88875,0.97375,0.374416,0.73296,Bus
00320a4009f3dcd1,0.0,0.2375,0.6925,0.855833,Car
00320a4009f3dcd1,0.23375,0.379375,0.718333,0.83,Car
00320a4009f3dcd1,0.36375,0.98625,0.668333,0.999167,Car
00320a4009f3dcd1,0.771875,0.999375,0.713333,0.881667,Car
00320a4009f3dcd1,0.0,0.236875,0.666667,0.855833,Taxi
00320a4009f3dcd1,0.224375,0.393125,0.724167,0.834167,Taxi
0037710c3d02f369,0.0425,0.489375,0.362278,0.641457,Car
0037710c3d02f369,0.29,0.913125,0.258637,0.804855,Car
003a166309fb75cc,0.301297,0.735317,0.265046,0.802083,Truck
003a166309fb75cc,0.574371,0.999237,0.131944,0.990741,Truck
003d689c47e27006,0.0,0.99625,0.248428,0.998952,Truck
003d6accff1ccb37,0.0525,0.718125,0.698333,0.999167,Truck
003d9b58f026ab6d,0.096667,0.923333,0.179104,0.863184,Car
0044141d3732acc5,0.0,0.19,0.49125,0.795625,Car
0044141d3732acc5,0.14375,0.290625,0.488125,0.641875,Car
0044141d3732acc5,0.26875,0.2975,0.495,0.5325,Car
0044141d3732acc5,0.290625,0.300625,0.49625,0.51375,Car
0044141d3732acc5,0.5825,0.999375,0.505,0.8825,Car
0044141d3732acc5,0.6225,0.718125,0.505,0.600625,Car
